 D 2 3 4 5 6 7 8 9 10 A
P
9 H D D D D H H H H H
10 D D D D D D D D H H
11 D D D D D D D D D H
12 H H S S S H H H H H
13 S S S S S H H H H H
14 S S S S S H H H H H
15 S S S S S H H H H H
16 S S S S S H H H H H
17 S S S S S S S S S S
A+2 H H D D D H H H H H
A+3 H H D D D H H H H H
A+4 H H D D D H H H H H
A+5 H H D D D H H H H H
A+6 D D D D D H H H H H
A+7 S D D D D S S H H S
A+8 S S S S S S S S S S
A+9 S S S S S S S S S S
A+A SP SP SP SP SP SP SP SP SP SP
2 H SP SP SP SP SP H H H H
3 H H SP SP SP SP H H H H
4 H H H D D H H H H H
5 H H H D D H H H H H
6 D D D D D H H H H H
7 S D D D D S S H H S
8 SP SP SP SP SP SP SP SP SP SP
9 SP SP SP SP SP S SP SP S S
